0;-0,003897
0,002;-0,001354
0,004;-0,00644
0,006;-0,014069
0,008;-0,014069
0,01;-0,00644
0,012;-0,00644
0,014;0,001188
0,016;0,001188
0,018;0,001188
0,02;-0,003897
0,022;-0,014069
0,024;-0,014069
0,026;-0,014069
0,028;-0,00644
0,03;-0,001354
0,032;-0,003897
0,034;-0,00644
0,036;-0,011526
0,038;-0,00644
0,04;-0,00644
0,042;0,001188
0,044;-0,003897
0,046;-0,00644
0,048;-0,011526
0,05;-0,011526
0,052;-0,003897
0,054;-0,003897
0,056;0,001188
0,058;-0,003897
0,06;-0,003897
0,062;-0,003897
0,064;-0,011526
0,066;-0,008983
0,068;-0,003897
0,07;0,006274
0,072;0,006274
0,074;0,006274
0,076;-0,001354
0,078;-0,00644
0,08;-0,00644
0,082;0,001188
0,084;0,006274
0,086;0,006274
0,088;0,006274
0,09;0,001188
0,092;0,001188
0,094;-0,003897
0,096;0,001188
0,098;0,003731
0,1;0,003731
0,102;0,008817
0,104;0,008817
0,106;0,003731
0,108;0,003731
0,11;-0,001354
0,112;0,006274
0,114;0,003731
0,116;0,01136
0,118;0,006274
0,12;0,001188
0,122;0,006274
0,124;0,008817
0,126;0,016446
0,128;0,016446
0,13;0,008817
0,132;0,01136
0,134;0,006274
0,136;0,006274
0,138;0,008817
0,14;0,01136
0,142;0,01136
0,144;0,013903
0,146;0,016446
0,148;0,021531
0,15;0,013903
0,152;0,016446
0,154;0,016446
0,156;0,01136
0,158;0,01136
0,16;0,016446
0,162;0,018988
0,164;0,026617
0,166;0,026617
0,168;0,021531
0,17;0,021531
0,172;0,021531
0,174;0,016446
0,176;0,024074
0,178;0,016446
0,18;0,016446
0,182;0,026617
0,184;0,026617
0,186;0,026617
0,188;0,021531
0,19;0,02916
0,192;0,034245
0,194;0,034245
0,196;0,02916
0,198;0,02916
0,2;0,026617
0,202;0,031703
0,204;0,034245
0,206;0,039331
0,208;0,034245
0,21;0,02916
0,212;0,036788
0,214;0,044417
0,216;0,039331
0,218;0,039331
0,22;0,031703
0,222;0,041874
0,224;0,04696
0,226;0,044417
0,228;0,041874
0,23;0,036788
0,232;0,044417
0,234;0,04696
0,236;0,054588
0,238;0,04696
0,24;0,04696
0,242;0,044417
0,244;0,044417
0,246;0,049502
0,248;0,057131
0,25;0,057131
0,252;0,054588
0,254;0,049502
0,256;0,04696
0,258;0,057131
0,26;0,057131
0,262;0,064759
0,264;0,057131
0,266;0,062217
0,268;0,059674
0,27;0,057131
0,272;0,057131
0,274;0,064759
0,276;0,064759
0,278;0,072388
0,28;0,067302
0,282;0,067302
0,284;0,062217
0,286;0,064759
0,288;0,069845
0,29;0,077474
0,292;0,080016
0,294;0,072388
0,296;0,067302
0,298;0,077474
0,3;0,077474
0,302;0,085102
0,304;0,085102
0,306;0,080016
0,308;0,080016
0,31;0,074931
0,312;0,074931
0,314;0,085102
0,316;0,085102
0,318;0,085102
0,32;0,087645
0,322;0,087645
0,324;0,095273
0,326;0,097816
0,328;0,092731
0,33;0,092731
0,332;0,092731
0,334;0,095273
0,336;0,097816
0,338;0,092731
0,34;0,092731
0,342;0,092731
0,344;0,097816
0,346;0,105445
0,348;0,102902
0,35;0,107988
0,352;0,113073
0,354;0,107988
